Indian Institute of Information Technology (IIIT) Nagpur,Computer Science and Engineering (4 Years Bachelor of Technology),EWS-PWD,M,178,178
National Institute of Technology Jamshedpur,Electrical Engineering (4 Years Bachelor of Technology),EWS-PWD,F,179,179
Motilal Nehru National Institute of Technology Allahabad,Computer Science and Engineering (4 Years Bachelor of Technology),ST,M,180,391
National Institute of Technology Calicut,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN,M,180,2717
National Institute of Technology Karnataka Surathkal,Mechanical Engineering (4 Years Bachelor of Technology),OBC-PWD,M,184,184
Maulana Azad National Institute of Technology Bhopal,Mechanical Engineering (4 Years Bachelor of Technology),EWS-PWD,M,187,187
National Institute of Technology Patna,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-PWD,M,188,188
Atal Bihari Vajpayee Indian Institute of Information Technology &Management Gwalior,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-PWD,M,189,189
National Institute of Technology Nagaland,Electronics and Communication Engineering (4 Years Bachelor of Technology),EWS-PWD,M,191,191
Maulana Azad National Institute of Technology Bhopal,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN-PWD,M,192,221
National Institute of Technology Karnataka Surathkal,Information Technology (4 Years Bachelor of Technology),OBC-PWD,F,192,192
Indian Institute of Information Technology Allahabad,Information Technology (4 Years Bachelor of Technology),ST,M,194,672
Malaviya National Institute of Technology Jaipur,Computer Science and Engineering (4 Years Bachelor of Technology),SC,M,197,962
National Institute of Technology Karnataka Surathkal,Information Technology (4 Years Bachelor of Technology),EWS,M,197,211
Maulana Azad National Institute of Technology Bhopal,Electronics and Communication Engineering (4 Years Bachelor of Technology),OBC-PWD,M,201,201
Indian Institute of Information Technology(IIIT) Kilohrad Sonepat Haryana,Computer Science and Engineering (4 Years Bachelor of Technology),EWS-PWD,M,201,201
Motilal Nehru National Institute of Technology Allahabad,Electrical Engineering (4 Years Bachelor of Technology),OBC-PWD,M,202,202
National Institute of Technology Hamirpur,Electrical Engineering (4 Years Bachelor of Technology),EWS-PWD,M,202,202
National Institute of Technology Karnataka Surathkal,Artificial Intelligence (4 Years Bachelor of Technology),ST,M,203,203
Motilal Nehru National Institute of Technology Allahabad,Chemical Engineering (4 Years Bachelor of Technology),EWS-PWD,M,204,204
National Institute of Technology Delhi,Electronics and Communication Engineering (4 Years Bachelor of Technology),OBC-PWD,M,204,204
National Institute of Technology Jamshedpur,Electronics and Communication Engineering (4 Years Bachelor of Technology),OBC-PWD,M,211,211
Indian Institute of Information Technology Bhopal,Computer Science and Engineering (4 Years Bachelor of Technology),EWS-PWD,M,218,218
National Institute of Technology Hamirpur,Civil Engineering (4 Years Bachelor of Technology),EWS-PWD,M,219,219
National Institute of Technology Agartala,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN-PWD,M,225,225
Indian Institute of Information Technology Lucknow,Computer Science and Artificial Intelligence (4 Years Bachelor of Technology),OBC-PWD,M,228,228
National Institute of Technology Raipur,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN-PWD,M,231,231
National Institute of Technology Calicut,Chemical Engineering (4 Years Bachelor of Technology),EWS-PWD,M,235,235
Dr. B R Ambedkar National Institute of Technology Jalandhar,Information Technology (4 Years Bachelor of Technology),OBC-PWD,M,237,237
Malaviya National Institute of Technology Jaipur,Computer Science and Engineering (4 Years Bachelor of Technology),ST,M,237,260
National Institute of Technology Jamshedpur,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN-PWD,M,244,244
National Institute of Technology Calicut,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN-PWD,F,248,248
Indian Institute of Information Technology Allahabad,Electronics and Communication Engineering (4 Years Bachelor of Technology),OBC-PWD,M,249,249
National Institute of Technology Karnataka Surathkal,Artificial Intelligence (4 Years Bachelor of Technology),EWS,M,250,250
Dr. B R Ambedkar National Institute of Technology Jalandhar,Electronics and Communication Engineering (4 Years Bachelor of Technology),OBC-PWD,M,251,251
Motilal Nehru National Institute of Technology Allahabad,Computer Science and Engineering (4 Years Bachelor of Technology),EWS,M,257,353
Malaviya National Institute of Technology Jaipur,Electrical Engineering (4 Years Bachelor of Technology),OBC-PWD,M,263,263
Indian Institute of Information Technology Design &Manufacturing Kurnool Andhra Pradesh,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-PWD,M,264,264
Indian Institute of Information Technology Lucknow,Computer Science (4 Years Bachelor of Technology),OBC-PWD,M,266,266
National Institute of Technology Karnataka Surathkal,Electronics and Communication Engineering (4 Years Bachelor of Technology),ST,M,267,333
Malaviya National Institute of Technology Jaipur,Computer Science and Engineering (4 Years Bachelor of Technology),EWS,M,274,376
Indian Institute of Information Technology Allahabad,Information Technology-Business Informatics (4 Years Bachelor of Technology),OPEN-PWD,M,275,275
Atal Bihari Vajpayee Indian Institute of Information Technology &Management Gwalior,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN-PWD,M,282,282
National Institute of Technology Goa,Computer Science and Engineering (4 Years Bachelor of Technology),ST,M,284,284
Indian Institute of Information Technology Lucknow,Computer Science and Business (4 Years Bachelor of Technology),OPEN-PWD,M,285,285
Indian Institute of Information Technology Lucknow,Computer Science and Business (4 Years Bachelor of Technology),OBC-PWD,M,285,285
National Institute of Technology Karnataka Surathkal,Mechanical Engineering (4 Years Bachelor of Technology),OPEN-PWD,M,286,286
Indian Institute of Information Technology Allahabad,Information Technology-Business Informatics (4 Years Bachelor of Technology),OBC-PWD,M,288,288
National Institute of Technology Karnataka Surathkal,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN,F,292,1045
Motilal Nehru National Institute of Technology Allahabad,Mechanical Engineering (4 Years Bachelor of Technology),OBC-PWD,M,294,294
National Institute of Technology Karnataka Surathkal,Computer Science and Engineering (4 Years Bachelor of Technology),EWS,F,300,300
National Institute of Technology Karnataka Surathkal,Computer Science and Engineering (4 Years Bachelor of Technology),SC,F,302,302
Indian Institute of Information Technology Allahabad,Electronics and Communication Engineering (4 Years Bachelor of Technology),OPEN-PWD,M,314,489
Indian Institute of Information Technology Lucknow,Computer Science and Artificial Intelligence (4 Years Bachelor of Technology),OPEN-PWD,M,315,315
National Institute of Technology Hamirpur,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN-PWD,M,317,317
National Institute of Technology Calicut,Computer Science and Engineering (4 Years Bachelor of Technology),EWS,M,319,423
Dr. B R Ambedkar National Institute of Technology Jalandhar,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN-PWD,M,320,320
National Institute of Technology Jamshedpur,Electrical Engineering (4 Years Bachelor of Technology),OBC-PWD,M,321,321
National Institute of Technology Raipur,Electronics and Communication Engineering (4 Years Bachelor of Technology),OBC-PWD,M,322,322
Indian Institute of Information Technology(IIIT) Kilohrad Sonepat Haryana,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-PWD,M,324,525
Malaviya National Institute of Technology Jaipur,Computer Science and Engineering (4 Years Bachelor of Technology),ST,F,335,335
Maulana Azad National Institute of Technology Bhopal,Electrical Engineering (4 Years Bachelor of Technology),OBC-PWD,M,337,337
National Institute of Technology Karnataka Surathkal,Artificial Intelligence (4 Years Bachelor of Technology),OBC,M,343,681
Indian Institute of Information Technology (IIIT)Kota Rajasthan,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-PWD,M,344,371
Indian Institute of Information Technology (IIIT) Pune,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-PWD,M,345,350
National Institute of Technology Karnataka Surathkal,Information Technology (4 Years Bachelor of Technology),SC,M,346,446
Indian Institute of Information Technology Guwahati,Computer Science and Engineering (4 Years Bachelor of Technology),OBC-PWD,M,348,348
National Institute of Technology Hamirpur,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN-PWD,F,349,349
National Institute of Technology Patna,Computer Science and Engineering (4 Years Bachelor of Technology),OPEN-PWD,M,350,397
Maulana Azad National Institute of Technology Bhopal,Computer Science and Engineering (4 Years Bachelor of Technology),ST,M,352,681
National Institute of Technology Patna,Electronics and Communication Engineering (4 Years Bachelor of Technology),OBC-PWD,M,353,353
National Institute of Technology Karnataka Surathkal,Civil Engineering (4 Years Bachelor of Technology),OPEN-PWD,M,354,354
Maulana Azad National Institute of Technology Bhopal,Electronics and Communication Engineering (4 Years Bachelor of Technology),OPEN-PWD,M,357,423
National Institute of Technology Calicut,Computer Science and Engineering (4 Years Bachelor of Technology),ST,F,358,358
National Institute of Technology Karnataka Surathkal,Computer Science and Engineering (4 Years Bachelor of Technology),OBC,F,361,524
National Institute of Technology Calicut,Computer Science and Engineering (4 Years Bachelor of Technology),SC,M,363,552
Indian Institute of Information Technology Lucknow,Information Technology (4 Years Bachelor of Technology),OBC-PWD,M,363,363
